"count(A.rev_authorUsername)","rev_authorUsername","id","p_accountId","p_name","p_email","p_userName"
"1","Abdulelah Alarifi","533","1000203","Abdulelah Alarifi","06ef4ebc569e10e6c2f6f0f97d8297d2475a760b","Abdulelah_Alarifi"
"2","Abhilash",,,,,
"1","Adam Co",,,,,
"5","Adolfo Jayme Barrientos","25","1000321","Adolfo Jayme Barrientos","c316e2f6600fdd4dce62d7524213fe7f0d1e7b04","fitoschido"
"1","Adrien",,,,,
"1","akash","99","1001270","akash","6b2258c5a7099b41f9073917dd296dc28424deca","autoit"
"1","Akash Deshpande","20","1001307","Akash Deshpande","cafc6ed85858f83b4cae233651bfae4b1bba255e","fastakash"
"1","Akash Jain",,,,,
"1","Akash Shetye","621","1000348","Akash Shetye","a8efc335123345d7bfbd875ac18845e571761dde","she1991"
"1","akki95",,,,,
"5","Akshay Deep","71","1001193","Akshay Deep","0ae36976a6f510901d0f79de42736a9733c4db18","akki95"
"1","Alaa.Bukhari","619","1000455","Alaa.Bukhari","ce2b6ade0892f7a0f76e554663843fa7ca8943b2","Alloo_Bukhari"
"1","Albert Thuswaldner","163","1000103","Albert Thuswaldner","af6f7170f659f99563fa952e60f24d2a065f0727","thuswa"
"2","aleksandar",,,,,
"1","aleksandar-stefanovic",,,,,
"1","Alex Ivan","524","1000372","Alex Ivan","33f4b6d737e594360c2dfaaa551dc054957b8ae7","alexnIvan"
"5","Alexander Wilms","555","1000126","Alexander Wilms","1d966bf660e0ec3099c70742f84493e650f8f669","alexanderW"
"5","Alexander Wilms","462","1000214","Alexander Wilms","fd9e7290350934091bb99290d646bdaae70e38a6","alexanderWilms"
"2","Alia Almusaireae",,,,,
"7","Andras Timar","41","1000028","Andras Timar","a9cc6fe86d01907174eb007a7f5eec801c0cd29c","timar"
"9","Andrea Gelmini","15","1000638","Andrea Gelmini","59719a45b67e1e8b0e192299c86a37722f6d5519","Andrea_Gelmini"
"2","andreas kainz","330","1000925","Andreas Kainz","1c03bbbd42fd5aad3bf76371efedbf1664bc75ea","andreas_k"
"3","andreask",,,,,
"1","andreas_k",,,,,
"1","andreas_ka",,,,,
"4","Andrew",,,,,
"9","Andrzej Hunt","245","1000120","Andrzej Hunt","969d9bb977fb37b58016c43bbdc07ca0c512c363","ajrhunt"
"2","Andrzej J.R. Hunt",,,,,
"1","Anurag Kanungo","296","1000380","Anurag Kanungo","23afd2014b6294050d379bdeb5d2c7b8d38335a9","anurag_kanungo"
"1","anuragkanungo",,,,,
"2","apurvapriyadarshi",,,,,
